Date,,Day of Week (Sunday = 0),Total Lines Changed,Files Changed,Insertions,Deletions,Difference,Lines Changed Percentile,Files Changed Percentile,Insertions Percentile,Deletions Percentile,ActivityLog Count,ActionLog Distinct User Count,EventLog Count,EventLog Distinct User Count
3/17/2012,251,6,666,25,485,181,304,0.409,0.267,0.466,0.409,11273,2896,133159,2851
3/18/2012,252,0,1510,62,415,1095,-680,0.611,0.643,0.415,0.799,11329,3477,160239,3435
3/19/2012,253,1,770,59,1289,145,1144,0.457,0.632,0.706,0.36,25408,3661,196404,3542
3/20/2012,254,2,1268,118,3266,446,2820,0.556,0.835,0.89,0.622,28518,4832,192949,4733
3/21/2012,255,3,939,151,1307,3126,-1819,0.491,0.886,0.708,0.93,26568,3488,239746,3379
3/22/2012,256,4,4973,4972,4271,702,3569,0.862,0.985,0.93,0.721,26151,3232,248254,3107
3/23/2012,257,5,4473,4952,996,3477,-2481,0.845,0.981,0.651,0.934,27762,2726,285191,2620
3/24/2012,258,6,583,15,211,372,-161,0.375,0.168,0.246,0.592,17746,2676,118162,2617
3/25/2012,259,0,4604,4948,3753,851,2902,0.852,0.978,0.902,0.759,18952,3588,285932,3515
3/26/2012,260,1,5828,5001,1883,3945,-2062,0.898,0.989,0.795,0.957,44475,3804,276485,3654
3/27/2012,261,2,741,30,700,41,659,0.447,0.345,0.55,0.154,42572,4912,225761,4790
3/28/2012,262,3,717,32,611,106,505,0.432,0.381,0.521,0.291,35589,3610,257180,3470
3/29/2012,263,4,345,18,67,27,40,0.257,0.202,0.109,0.118,32662,3235,241243,3143
3/30/2012,264,5,544,20,192,61,131,0.356,0.223,0.223,0.2,25267,2667,191915,2616
3/31/2012,265,6,,,,,,,,,,17890,2999,120564,2970
4/1/2012,266,0,1502,79,1174,330,844,0.609,0.736,0.681,0.559,14318,3663,123115,3641
4/2/2012,267,1,479,70,391,139,252,0.333,0.7,0.405,0.348,24942,3246,201080,3167
4/3/2012,268,2,381,14,249,78,171,0.276,0.149,0.286,0.234,25935,4595,223246,4515
4/4/2012,269,3,434,39,307,118,189,0.308,0.466,0.352,0.305,25509,3564,192234,3477
4/5/2012,270,4,19,3,2,17,-15,0.035,0.042,0.008,0.08,26023,3073,205129,2989
4/6/2012,271,5,17,4,9,8,1,0.033,0.054,0.042,0.052,18116,2549,167906,2495
4/7/2012,272,6,,,,,,,,,,13315,3117,110644,3084
4/8/2012,273,0,339,15,283,56,227,0.253,0.168,0.32,0.194,13417,3501,142737,3468
4/9/2012,274,1,1678,43,1533,145,1388,0.639,0.506,0.738,0.36,27141,2881,246485,2800
4/10/2012,275,2,1135,37,814,321,493,0.523,0.438,0.588,0.552,29796,4787,250490,4717
4/11/2012,276,3,1823,47,246,1577,-1331,0.664,0.533,0.28,0.833,27345,3478,235256,3379
4/12/2012,277,4,2091,52,1841,250,1591,0.696,0.575,0.789,0.495,26606,2956,207605,2845
4/13/2012,278,5,4241,75,2339,1902,437,0.835,0.725,0.845,0.86,22701,2599,187997,2529
4/14/2012,279,6,,,,,,,,,,13002,3242,109885,3209
4/15/2012,280,0,4460,102,3931,529,3402,0.843,0.797,0.917,0.662,13176,2619,107044,2576
4/16/2012,281,1,3063,90,863,2212,-1349,0.789,0.78,0.605,0.883,25672,989,274360,900
4/17/2012,282,2,484,31,422,52,370,0.335,0.367,0.421,0.177,27067,834,215463,744
4/18/2012,283,3,3011,85,2288,719,1569,0.784,0.767,0.837,0.732,36032,5828,231462,5758
4/19/2012,284,4,490,11,310,180,130,0.337,0.132,0.356,0.407,29279,2664,218592,2587
4/20/2012,285,5,3870,120,1462,2408,-946,0.82,0.839,0.727,0.898,27451,3317,194393,3253
4/21/2012,286,6,,,,,,,,,,16538,2753,173262,2727
4/22/2012,287,0,456,18,268,188,80,0.322,0.202,0.31,0.417,15384,2405,140921,2368
4/23/2012,288,1,3299,21,301,91,210,0.799,0.227,0.339,0.27,32688,5285,220913,5203
4/24/2012,289,2,3995,42,535,259,276,0.829,0.499,0.493,0.51,32282,5727,223954,5646
4/25/2012,290,3,783,34,587,196,391,0.462,0.402,0.514,0.428,30417,981,219603,917
4/26/2012,291,4,10,3,6,4,2,0.023,0.042,0.029,0.029,47785,803,236540,696
4/27/2012,292,5,4,2,2,2,0,0.004,0.018,0.008,0.008,32073,717,219963,621
4/28/2012,293,6,,,,,,,,,,17546,389,167792,350
4/29/2012,294,0,5488,30,844,453,391,0.888,0.345,0.592,0.626,7832,232,164034,205
4/30/2012,295,1,7789,50,657,369,288,0.945,0.559,0.531,0.59,26746,674,192045,599
5/1/2012,296,2,2529,605,1603,926,677,0.738,0.947,0.755,0.772,32716,8356,171510,8292
5/2/2012,297,3,1639,48,784,855,-71,0.628,0.546,0.569,0.761,37792,4562,222669,4416
5/3/2012,298,4,130,16,82,48,34,0.109,0.183,0.124,0.168,35361,2183,228829,2088
5/4/2012,299,5,79,7,24,55,-31,0.08,0.08,0.063,0.189,24164,778,180884,704
5/5/2012,300,6,2126,68,1950,176,1774,0.704,0.687,0.808,0.398,10988,309,117301,275
5/6/2012,301,0,2025,602,1608,1145,463,0.683,0.945,0.757,0.808,13583,568,117382,529
5/7/2012,302,1,1804,107,2732,1214,1518,0.658,0.812,0.869,0.814,29721,907,211894,820
5/8/2012,303,2,546,28,318,228,90,0.358,0.329,0.364,0.47,27225,798,248884,724
5/9/2012,304,3,1255,59,768,487,281,0.552,0.632,0.563,0.647,38855,7890,243989,7841
5/10/2012,305,4,1073,56,806,267,539,0.508,0.607,0.586,0.516,29151,1053,241236,973
5/11/2012,306,5,266,31,236,30,206,0.204,0.367,0.272,0.13,21543,687,202900,626
5/12/2012,307,6,127,4,74,53,21,0.105,0.054,0.118,0.181,10494,282,129064,271
5/13/2012,308,0,16200,22,258,15942,-15684,0.991,0.242,0.297,1,10412,334,186564,296
5/14/2012,309,1,1729,54,1529,198,1331,0.645,0.597,0.736,0.432,24709,770,318313,706
5/15/2012,310,2,6393,147,4707,1686,3021,0.915,0.881,0.94,0.843,36023,7542,229562,7494
5/16/2012,311,3,6427,141,2686,3741,-1055,0.917,0.875,0.864,0.951,29214,1036,210120,976
5/17/2012,312,4,6460,145,5686,774,4912,0.921,0.877,0.962,0.746,25869,782,181656,709
5/18/2012,313,5,2854,79,887,1967,-1080,0.767,0.736,0.616,0.864,21071,637,152547,593
5/19/2012,314,6,,,,,,,,,,10221,248,174919,243
5/20/2012,315,0,2431,729,4964,2182,2782,0.729,0.966,0.945,0.877,9913,322,98897,282
5/21/2012,316,1,5204,188,3237,3717,-480,0.871,0.898,0.886,0.947,21527,678,197755,613
5/22/2012,317,2,9200,75,2032,375,1657,0.968,0.725,0.814,0.594,25801,714,216190,637
5/23/2012,318,3,566,19,343,255,88,0.364,0.21,0.383,0.506,25220,685,208400,610
5/24/2012,319,4,5609,128,3941,1700,2241,0.894,0.856,0.919,0.848,25979,636,200970,563
5/25/2012,320,5,5527,128,1750,3777,-2027,0.89,0.856,0.774,0.953,20257,558,166408,493
5/26/2012,321,6,6,2,3,3,0,0.012,0.018,0.016,0.023,17537,7258,131571,7246
5/27/2012,322,0,726,38,724,2,722,0.438,0.453,0.559,0.008,10332,718,117340,676
5/28/2012,323,1,207,24,174,33,141,0.145,0.257,0.208,0.139,21632,788,186402,743
5/29/2012,324,2,382,17,297,85,212,0.278,0.196,0.333,0.246,25569,965,206762,898
5/30/2012,325,3,245,17,157,88,69,0.181,0.196,0.183,0.253,25643,759,202571,675
5/31/2012,326,4,187,24,416,339,77,0.13,0.257,0.417,0.565,20990,662,250574,569
6/1/2012,327,5,5472,170,4110,2292,1818,0.886,0.89,0.928,0.894,22286,598,171794,524
6/2/2012,328,6,5469,122,1802,3667,-1865,0.883,0.843,0.782,0.943,9534,304,458714,289
6/3/2012,329,0,5663,129,3842,1821,2021,0.896,0.86,0.909,0.852,8535,292,243454,266
6/4/2012,330,1,2598,67,1598,918,680,0.744,0.681,0.753,0.77,37011,8189,260809,8114
6/5/2012,331,2,4811,104,2766,1961,805,0.856,0.801,0.871,0.862,33777,1151,268284,1071
6/6/2012,332,3,3985,96,2905,1080,1825,0.827,0.789,0.877,0.797,30637,856,303669,792
6/7/2012,333,4,1783,45,1267,533,734,0.654,0.516,0.702,0.666,29853,793,216431,723
6/8/2012,334,5,439,31,169,287,-118,0.312,0.367,0.204,0.527,24308,665,182748,604
6/9/2012,335,6,,,,,,,,,,11613,274,101459,254
6/10/2012,336,0,474,29,263,61,202,0.329,0.335,0.303,0.2,11210,329,99350,286
6/11/2012,337,1,1662,37,318,126,192,0.632,0.438,0.364,0.327,29599,791,263309,715
6/12/2012,338,2,2560,58,853,393,460,0.74,0.62,0.597,0.603,27466,774,293536,689
6/13/2012,339,3,2938,71,1633,1305,328,0.776,0.704,0.761,0.822,26908,962,254014,895
6/14/2012,340,4,4574,696,3324,2094,1230,0.848,0.959,0.894,0.871,39209,9102,316552,9022
6/15/2012,341,5,5395,754,2200,4053,-1853,0.881,0.97,0.827,0.959,25732,1111,247390,1040
6/16/2012,342,6,91,7,66,25,41,0.086,0.08,0.105,0.105,14519,374,221786,357
6/17/2012,343,0,6129,770,3865,2264,1601,0.909,0.972,0.911,0.89,11725,346,211745,307
6/18/2012,344,1,671,44,543,128,415,0.411,0.508,0.497,0.331,28675,820,239211,750
6/19/2012,345,2,276,27,77,199,-122,0.213,0.314,0.12,0.44,29250,788,272933,716
6/20/2012,346,3,3919,118,3264,655,2609,0.824,0.835,0.888,0.7,30601,792,342009,688
6/21/2012,347,4,1084,47,461,623,-162,0.51,0.533,0.449,0.687,29117,749,284184,648
6/22/2012,348,5,202,19,149,53,96,0.139,0.21,0.172,0.181,21129,543,270811,490
6/23/2012,349,6,92,7,66,26,40,0.088,0.08,0.105,0.109,9702,220,235329,203
6/24/2012,350,0,3209,69,1660,676,984,0.793,0.694,0.765,0.71,10199,310,190593,267
6/25/2012,351,1,1294,68,1908,127,1781,0.563,0.687,0.799,0.329,28362,795,249181,725
6/26/2012,352,2,1187,108,2799,2521,278,0.54,0.816,0.873,0.905,26979,751,251132,651
6/27/2012,353,3,2994,130,2624,2905,-281,0.782,0.862,0.862,0.921,31591,4128,303093,4047
6/28/2012,354,4,2167,140,3323,2661,662,0.706,0.873,0.892,0.915,29500,882,282354,795
6/29/2012,355,5,2915,203,3497,3855,-358,0.774,0.902,0.9,0.955,21507,614,198584,532
6/30/2012,356,6,2042,55,2016,26,1990,0.685,0.603,0.812,0.109,13037,242,116622,221
7/1/2012,357,0,11643,79,9557,2086,7471,0.985,0.736,0.985,0.869,9101,267,116069,222
7/2/2012,358,1,4830,96,3204,1625,1579,0.858,0.789,0.883,0.839,26884,723,206422,618
7/3/2012,359,2,346,23,189,154,35,0.259,0.253,0.219,0.377,26147,711,211004,618
7/4/2012,360,3,225,94,0,225,-225,0.166,0.784,0,0.466,21112,521,205883,454
7/5/2012,361,4,287,44,165,122,43,0.221,0.508,0.196,0.316,29131,729,214008,628
7/6/2012,362,5,4303,30,3958,345,3613,0.839,0.345,0.921,0.567,22348,580,234938,506
7/7/2012,363,6,9861,5510,9861,0,9861,0.972,0.997,0.989,0,9316,233,141598,202
7/8/2012,364,0,9865,5513,0,9865,-9865,0.974,1,0,0.993,9954,283,224294,241
7/9/2012,365,1,8,2,4,4,0,0.016,0.018,0.025,0.029,23664,696,235503,600
7/10/2012,366,2,40,4,15,25,-10,0.05,0.054,0.05,0.105,26449,742,260736,640
7/11/2012,367,3,217,19,159,60,99,0.156,0.21,0.185,0.196,40487,10595,254586,10514
7/12/2012,368,4,1225,46,763,460,303,0.548,0.525,0.561,0.637,32887,1426,261012,1320
7/13/2012,369,5,278,15,180,98,82,0.215,0.168,0.217,0.284,22398,689,228846,614
7/14/2012,370,6,,,,,,,,,,10258,280,134969,251
7/15/2012,371,0,98,7,86,12,74,0.097,0.08,0.128,0.067,10407,303,175351,251
7/16/2012,372,1,643,52,449,219,230,0.398,0.575,0.443,0.457,28065,725,287112,634
7/17/2012,373,2,571,41,520,167,353,0.367,0.489,0.485,0.39,28565,767,296486,682
7/18/2012,374,3,1763,3288,1200,558,642,0.649,0.976,0.689,0.67,24837,746,353823,663
7/19/2012,375,4,374,25,230,144,86,0.272,0.267,0.263,0.354,24528,772,302105,685
7/20/2012,376,5,296,30,247,49,198,0.225,0.345,0.282,0.17,32378,8327,337548,8273
7/21/2012,377,6,24,2,8,16,-8,0.04,0.018,0.037,0.073,10441,549,191338,517
7/22/2012,378,0,297,32,209,88,121,0.227,0.381,0.244,0.253,10667,446,174939,419
7/23/2012,379,1,5102,105,4440,662,3778,0.869,0.805,0.934,0.708,27851,886,319236,798
7/24/2012,380,2,6978,155,2485,4493,-2008,0.932,0.888,0.86,0.964,39217,8551,342588,8474
7/25/2012,381,3,2696,193,10657,2164,8493,0.753,0.9,0.991,0.875,30918,1271,293675,1186
7/26/2012,382,4,16202,702,3338,1001,2337,0.993,0.962,0.896,0.786,27438,842,312354,743
7/27/2012,383,5,1022,14,51,971,-920,0.497,0.149,0.088,0.778,22318,660,275193,600
7/28/2012,384,6,4,1,3,1,2,0.004,0,0.016,0.002,10209,262,188915,227
7/29/2012,385,0,6024,4965,5026,998,4028,0.907,0.983,0.949,0.784,10084,285,169154,236
7/30/2012,386,1,9664,4983,2225,5093,-2868,0.97,0.987,0.831,0.968,27569,755,295257,653
7/31/2012,387,2,1580,123,2707,3725,-1018,0.618,0.848,0.867,0.949,28850,742,336915,650
8/1/2012,388,3,6594,5014,5213,1381,3832,0.928,0.991,0.953,0.829,24993,624,270530,536
8/2/2012,389,4,32,3,23,9,14,0.046,0.042,0.061,0.056,24691,688,293742,588
8/3/2012,390,5,55,8,41,14,27,0.065,0.103,0.073,0.069,34304,8541,327797,8487
8/4/2012,391,6,,,,,,,,,,8712,377,205291,342
8/5/2012,392,0,1090,58,683,407,276,0.512,0.62,0.537,0.605,8989,330,191129,293
8/6/2012,393,1,2380,80,1674,704,970,0.723,0.748,0.767,0.723,27491,797,249619,704
8/7/2012,394,2,8730,5088,1692,7036,-5344,0.959,0.995,0.77,0.983,37913,8567,310668,8489
8/8/2012,395,3,8616,5079,7151,1467,5684,0.957,0.993,0.978,0.831,28984,895,293266,801
8/9/2012,396,4,217,7,133,82,51,0.156,0.08,0.162,0.24,28442,705,330036,631
8/10/2012,397,5,1832,67,1048,784,264,0.666,0.681,0.66,0.748,21457,636,281414,557
8/11/2012,398,6,491,41,190,301,-111,0.339,0.489,0.221,0.535,7370,187,194932,153
8/12/2012,399,0,1482,58,1181,301,880,0.605,0.62,0.683,0.535,6770,235,198594,194
8/13/2012,400,1,1689,53,1122,567,555,0.641,0.586,0.677,0.677,28152,658,368829,570
8/14/2012,401,2,1278,74,1081,813,268,0.559,0.717,0.664,0.755,34547,8546,481749,8459
8/15/2012,402,3,922,25,212,35,177,0.487,0.267,0.248,0.141,25268,894,347676,797
8/16/2012,403,4,1519,67,1188,451,737,0.613,0.681,0.687,0.624,29134,688,344785,602
8/17/2012,404,5,1778,299,1077,368,709,0.651,0.909,0.662,0.586,20442,535,321031,471
8/18/2012,405,6,,,,,,,,,,9187,185,254240,156
8/19/2012,406,0,190,10,179,11,168,0.135,0.122,0.21,0.065,8445,265,290955,226
8/20/2012,407,1,325,12,150,175,-25,0.248,0.139,0.177,0.396,30357,1962,342450,1884
8/21/2012,408,2,1112,37,859,253,606,0.518,0.438,0.599,0.502,47917,9164,383371,9083
8/22/2012,409,3,1469,22,492,977,-485,0.603,0.242,0.474,0.782,32600,1774,343107,1678
8/23/2012,410,4,1402,68,1093,309,784,0.59,0.687,0.666,0.544,27058,838,314241,740
8/24/2012,411,5,604,36,521,83,438,0.383,0.413,0.487,0.242,22225,617,278086,547
8/25/2012,412,6,,,,,,,,,,9544,250,401960,229
8/26/2012,413,0,1623,31,943,656,287,0.626,0.367,0.643,0.702,8374,284,275080,245
8/27/2012,414,1,2110,57,875,1226,-351,0.702,0.618,0.611,0.818,27355,755,306136,666
8/28/2012,415,2,5863,241,5008,2256,2752,0.902,0.907,0.947,0.888,30979,780,282341,700
8/29/2012,416,3,1041,80,1566,1217,349,0.504,0.748,0.746,0.816,29648,721,290689,637
8/30/2012,417,4,1120,65,795,293,502,0.521,0.666,0.573,0.531,39264,8589,234269,8519
8/31/2012,418,5,674,36,441,233,208,0.415,0.413,0.434,0.476,23653,893,213650,836
9/1/2012,419,6,2,1,1,1,0,0,0,0.004,0.002,8833,239,141064,221
9/2/2012,420,0,23,5,13,10,3,0.037,0.063,0.048,0.063,8923,266,194364,235
9/3/2012,421,1,686,46,533,153,380,0.419,0.525,0.491,0.375,16938,512,339037,463
9/4/2012,422,2,475,25,331,144,187,0.331,0.267,0.381,0.354,41038,8564,355693,8495
9/5/2012,423,3,2524,36,2251,273,1978,0.736,0.413,0.835,0.523,31697,1071,285679,1011
9/6/2012,424,4,322,10,233,89,144,0.242,0.122,0.265,0.259,32118,770,261229,719
9/7/2012,425,5,1985,49,721,1264,-543,0.679,0.554,0.556,0.82,25146,596,209305,546
9/8/2012,426,6,93,4,39,54,-15,0.092,0.054,0.071,0.187,9647,219,135101,215
9/9/2012,427,0,1259,41,867,392,475,0.554,0.489,0.607,0.601,11196,295,120714,276
9/10/2012,428,1,1035,50,914,121,793,0.502,0.559,0.624,0.312,31626,694,258355,633
9/11/2012,429,2,1278,71,553,742,-189,0.559,0.704,0.502,0.742,42350,6739,292023,6715
9/12/2012,430,3,842,40,235,150,85,0.468,0.485,0.27,0.373,40509,918,273808,874
9/13/2012,431,4,2226,65,1339,887,452,0.708,0.666,0.715,0.763,34485,721,242752,683
9/14/2012,432,5,225,26,121,109,12,0.166,0.297,0.145,0.293,24245,596,196450,556
9/15/2012,433,6,12,1,2,5,-3,0.029,0,0.008,0.04,12921,194,118811,191
9/16/2012,434,0,847,39,689,158,531,0.47,0.466,0.546,0.379,10013,281,190287,257
9/17/2012,435,1,7259,714,2297,951,1346,0.938,0.964,0.841,0.776,33246,621,244537,573
9/18/2012,436,2,17903,185,21235,661,20574,0.995,0.896,0.997,0.706,41637,6815,272982,6787
9/19/2012,437,3,13503,150,591,12912,-12321,0.989,0.883,0.516,0.997,32352,937,247175,887
9/20/2012,438,4,256,10,166,90,76,0.191,0.122,0.2,0.263,21055,630,272781,587
9/21/2012,439,5,188,16,98,90,8,0.132,0.183,0.13,0.263,20616,551,233507,522
9/22/2012,440,6,1610,30,1251,359,892,0.622,0.345,0.7,0.582,9285,223,170700,211
9/23/2012,441,0,347,24,225,122,103,0.263,0.257,0.257,0.316,6896,228,185491,208
9/24/2012,442,1,639,37,445,194,251,0.396,0.438,0.438,0.424,22200,608,249555,543
9/25/2012,443,2,2473,83,1098,1375,-277,0.734,0.763,0.668,0.827,25059,616,269245,557
9/26/2012,444,3,854,19,804,50,754,0.472,0.21,0.584,0.172,27574,593,320411,538
9/27/2012,445,4,2561,17,2468,198,2270,0.742,0.196,0.856,0.432,31135,605,325025,556
9/28/2012,446,5,3112,51,2838,169,2669,0.791,0.569,0.875,0.392,28282,534,234476,493
9/29/2012,447,6,8174,116,1612,6562,-4950,0.951,0.831,0.759,0.981,10276,224,157118,211
9/30/2012,448,0,9111,131,6798,1821,4977,0.964,0.864,0.972,0.852,7692,180,160533,157
10/1/2012,449,1,1329,80,1438,269,1169,0.569,0.748,0.719,0.518,24448,490,254402,448
10/2/2012,450,2,765,32,397,368,29,0.453,0.381,0.411,0.586,29363,570,259192,523
10/3/2012,451,3,393,33,165,228,-63,0.289,0.39,0.196,0.47,25947,502,253877,473
10/4/2012,452,4,661,32,571,90,481,0.405,0.381,0.508,0.263,24754,510,266831,466
10/5/2012,453,5,776,31,294,482,-188,0.459,0.367,0.331,0.645,23817,2515,234900,2479
10/6/2012,454,6,,,,,,,,,,19357,5459,157205,5452
10/7/2012,455,0,4,2,2,2,0,0.004,0.018,0.008,0.008,13633,443,164585,412
10/8/2012,456,1,398,12,79,130,-51,0.293,0.139,0.122,0.333,27948,737,297342,695
10/9/2012,457,2,3236,63,1937,1196,741,0.795,0.649,0.801,0.812,31637,673,249759,629
10/10/2012,458,3,449,14,266,183,83,0.32,0.149,0.308,0.411,27980,600,269431,560
10/11/2012,459,4,1669,25,941,728,213,0.635,0.267,0.639,0.736,27444,587,284822,553
10/12/2012,460,5,1675,38,776,899,-123,0.637,0.453,0.567,0.765,23895,524,212084,475
10/13/2012,461,6,,,,,,,,,,8181,210,229935,189
10/14/2012,462,0,2689,104,133,2556,-2423,0.751,0.801,0.162,0.907,9785,268,255881,250
10/15/2012,463,1,4806,117,3799,1052,2747,0.854,0.833,0.907,0.795,27563,588,393026,545
10/16/2012,464,2,7922,25,7817,70,7747,0.947,0.267,0.981,0.221,31269,622,407395,576
10/17/2012,465,3,429,31,325,104,221,0.303,0.367,0.373,0.289,29153,612,403059,574
10/18/2012,466,4,400,29,298,101,197,0.295,0.335,0.335,0.286,29826,596,330696,556
10/19/2012,467,5,384,27,145,238,-93,0.282,0.314,0.166,0.481,40954,8355,368237,8320
10/20/2012,468,6,,,,,,,,,,9080,435,253933,429
10/21/2012,469,0,441,26,486,237,249,0.314,0.297,0.47,0.478,12204,2197,282622,2174
10/22/2012,470,1,704,33,462,518,-56,0.426,0.39,0.451,0.654,31920,982,382169,930
10/23/2012,471,2,1617,74,988,629,359,0.624,0.717,0.647,0.694,29829,656,369256,623
10/24/2012,472,3,2069,62,1160,936,224,0.694,0.643,0.679,0.774,38604,8853,364479,8822
10/25/2012,473,4,599,30,452,122,330,0.377,0.345,0.445,0.316,36406,959,318070,920
10/26/2012,474,5,1172,14,607,565,42,0.531,0.149,0.518,0.672,32546,583,209705,548
10/27/2012,475,6,14,1,8,6,2,0.031,0,0.037,0.044,12052,212,140411,204
10/28/2012,476,0,859,35,502,357,145,0.476,0.407,0.478,0.58,11158,267,139485,251
10/29/2012,477,1,679,6,51,23,28,0.417,0.071,0.088,0.099,34109,619,324879,576
10/30/2012,478,2,1695,66,1517,569,948,0.643,0.675,0.732,0.679,31338,614,316146,570
10/31/2012,479,3,303,26,127,176,-49,0.232,0.297,0.156,0.398,34658,580,304558,535
11/1/2012,480,4,144,10,192,51,141,0.116,0.122,0.223,0.175,30365,579,324043,537
11/2/2012,481,5,109,10,29,179,-150,0.101,0.122,0.067,0.405,25147,478,246661,444
11/3/2012,482,6,87,1,61,26,35,0.084,0,0.097,0.109,10946,177,178542,168
11/4/2012,483,0,324,16,259,73,186,0.246,0.183,0.299,0.225,16231,275,216135,241
11/5/2012,484,1,2790,53,2099,683,1416,0.761,0.586,0.82,0.715,36393,629,291760,573
11/6/2012,485,2,11443,737,1803,9640,-7837,0.983,0.968,0.784,0.991,43027,615,264655,570
11/7/2012,486,3,1353,56,1017,336,681,0.578,0.607,0.654,0.563,39115,608,240212,571
11/8/2012,487,4,493,36,327,146,181,0.341,0.413,0.377,0.364,39587,640,278671,593
11/9/2012,488,5,250,19,179,85,94,0.185,0.21,0.21,0.246,33648,503,200268,462
11/10/2012,489,6,,,,,,,,,,17091,217,126955,206
11/11/2012,490,0,67,11,124,63,61,0.073,0.132,0.149,0.21,14317,269,167637,240
11/12/2012,491,1,582,30,380,158,222,0.373,0.345,0.402,0.379,32188,561,259043,512
11/13/2012,492,2,9165,65,8456,637,7819,0.966,0.666,0.983,0.696,31979,566,237455,523
11/14/2012,493,3,79,25,53,323,-270,0.08,0.267,0.092,0.554,50256,10818,325791,10800
11/15/2012,494,4,8251,25,202,7714,-7512,0.953,0.267,0.236,0.987,36314,1067,274715,1026
11/16/2012,495,5,518,34,429,89,340,0.345,0.402,0.43,0.259,25179,597,269310,561
11/17/2012,496,6,728,41,306,422,-116,0.443,0.489,0.348,0.613,10871,250,139431,236
11/18/2012,497,0,151,16,123,28,95,0.122,0.183,0.147,0.122,14800,282,182123,253
11/19/2012,498,1,1170,72,939,231,708,0.529,0.708,0.635,0.474,48537,9696,314731,9662
11/20/2012,499,2,221,26,161,62,99,0.162,0.297,0.187,0.208,43417,1093,250028,1047
11/21/2012,500,3,286,18,212,74,138,0.219,0.202,0.248,0.229,30550,687,245753,634
11/22/2012,501,4,6363,69,162,6201,-6039,0.913,0.694,0.189,0.974,21015,496,210045,465
11/23/2012,502,5,,,,,,,,,,,,,
11/24/2012,503,6,,,,,,,,,,,,,